# Tranco list_id V3JQN, created_on 2026-08-01T22:00:02Z, 30-day dowdall over crux+farsight+majestic+radar+umbrella
# source: https://tranco-list.eu/download/V3JQN/1000000  (sha256 of the fetched CSV recorded in docs/step0c-hb-ru-market-study-2026-08-18.md)
# RULE: every registrable domain in the top 50000 whose TLD is .ru / .su / .xn--p1ai. Nothing hand-picked, nothing removed.
# This is the UNIVERSE, not the frame. The frame is this file filtered by the probe in the same doc; both the kept and the dropped are published.
rank	domain
14550	sportmaster.ru
14605	tensor.ru
14610	rsl.ru
14631	selstorage.ru
14641	petrovich.ru
14644	5ka.ru
14714	amur-cit.ru
14744	zoon.ru
14802	cryptopro.ru
14805	gastronom.ru
14809	cyberleninka.ru
14963	3ddd.ru
15004	moviead55.ru
15047	lot-online.ru
15073	simplecloud.ru
15080	khl.ru
15121	auchan.ru
15128	smartcallback.ru
15177	salute.ru
15186	goznak.ru
15188	ya-content.ru
15282	efko.ru
15286	streamimdb.ru
15304	servicecdn.ru
15308	otpbank.ru
15341	spbu.ru
15353	cikrf.ru
15360	t72.ru
15380	livelib.ru
15394	fitorf.ru
15402	servionica.ru
15418	moysklad.ru
15420	perekrestok.ru
15431	dpd.ru
15455	crazypanda.ru
15474	myhuaweicloud.ru
15486	starline.ru
15497	admhmao.ru
15502	zt.ru
15538	nsu.ru
15586	langame.ru
15603	rosatom.ru
15606	afisha.ru
15633	tgstat.ru
15652	vgtimes.ru
15698	dnevnik.ru
15720	notamedia.ru
15777	drugvokrug.ru
15798	letu.ru
15823	kuper.ru
15841	culture.ru
15890	lib.ru
15927	superjob.ru
15969	poig.ru
15977	bloombergia.ru
16014	selcdn.ru
16030	axex.ru
16068	one-dns.ru
16071	mosmedzdrav.ru
16091	sport24.ru
16092	mephi.ru
16136	stratum2.ru
16149	mtu-net.ru
16156	ht-systems.ru
16184	x5media.ru
16196	cntd.ru
16210	cit-23.ru
16214	labirint.ru
16238	megapbx.ru
16310	gloryads.ru
16324	bfm.ru
16328	gazprom-neft.ru
16335	apteka.ru
16400	tourvisor.ru
